L,mu,cvr,f,m,cs/cw,BE,CBEmuFactor,CBE_mu_m_Factor,DF+DL,NB 1 day (Fit),NB L days (Fit),NB R+L=1+L days (FitConv),NB m days (FitConv),NB m+1 days (FitConv),NB m+L days (FitConv),NB m+L+1 days (FitConv),LB_S,UB_S,,,,,,,
0,2,0.7,0,3,0.2,1,0.00E+00,0.00E+00,4,1,0,1,4,6,4,6,0,4,,,,,,,
0,2,0.7,0,3,0.2,2,1.00E+00,0.00E+00,4,1,0,1,4,6,4,6,0,4,,,,,,,
0,2,0.7,0,3,0.2,6,0.00E+00,1.00E+00,4,1,0,1,4,6,4,6,0,4,,,,,,,
0,2,0.7,0,3,1,1,0.00E+00,0.00E+00,4,2,0,2,6,8,6,8,0,6,,,,,,,
0,2,0.7,0,3,1,2,1.00E+00,0.00E+00,4,2,0,2,6,8,6,8,0,6,,,,,,,
0,2,0.7,0,3,1,6,0.00E+00,1.00E+00,4,2,0,2,6,8,6,8,0,6,,,,,,,
0,2,0.7,0,3,5,1,0.00E+00,0.00E+00,4,3,0,3,8,10,8,10,0,8,,,,,,,
0,2,0.7,0,3,5,2,1.00E+00,0.00E+00,4,3,0,3,8,10,8,10,0,8,,,,,,,
0,2,0.7,0,3,5,6,0.00E+00,1.00E+00,4,3,0,3,8,10,8,10,0,8,,,,,,,
0,2,0.7,0,4,0.2,1,0.00E+00,0.00E+00,4,1,0,1,6,8,6,8,0,6,,,,,,,
0,2,0.7,0,4,0.2,2,1.00E+00,0.00E+00,4,1,0,1,6,8,6,8,0,6,,,,,,,
0,2,0.7,0,4,0.2,8,0.00E+00,1.00E+00,4,1,0,1,6,8,6,8,0,6,,,,,,,
0,2,0.7,0,4,1,1,0.00E+00,0.00E+00,4,2,0,2,8,10,8,10,0,8,,,,,,,
0,2,0.7,0,4,1,2,1.00E+00,0.00E+00,4,2,0,2,8,10,8,10,0,8,,,,,,,
0,2,0.7,0,4,1,8,0.00E+00,1.00E+00,4,2,0,2,8,10,8,10,0,8,,,,,,,
0,2,0.7,0,4,5,1,0.00E+00,0.00E+00,4,3,0,3,10,12,10,12,0,10,,,,,,,
0,2,0.7,0,4,5,2,1.00E+00,0.00E+00,4,3,0,3,10,12,10,12,0,10,,,,,,,
0,2,0.7,0,4,5,8,0.00E+00,1.00E+00,4,3,0,3,10,12,10,12,0,10,,,,,,,
0,2,0.7,0,5,0.2,1,0.00E+00,0.00E+00,4,1,0,1,8,10,8,10,0,8,,,,,,,
0,2,0.7,0,5,0.2,2,1.00E+00,0.00E+00,4,1,0,1,8,10,8,10,0,8,,,,,,,
0,2,0.7,0,5,0.2,10,0.00E+00,1.00E+00,4,1,0,1,8,10,8,10,0,8,,,,,,,
0,2,0.7,0,5,1,1,0.00E+00,0.00E+00,4,2,0,2,10,12,10,12,0,10,,,,,,,
0,2,0.7,0,5,1,2,1.00E+00,0.00E+00,4,2,0,2,10,12,10,12,0,10,,,,,,,
0,2,0.7,0,5,1,10,0.00E+00,1.00E+00,4,2,0,2,10,12,10,12,0,10,,,,,,,
0,2,0.7,0,5,5,1,0.00E+00,0.00E+00,4,3,0,3,12,14,12,14,0,12,,,,,,,
0,2,0.7,0,5,5,2,1.00E+00,0.00E+00,4,3,0,3,12,14,12,14,0,12,,,,,,,
0,2,0.7,0,5,5,10,0.00E+00,1.00E+00,4,3,0,3,12,14,12,14,0,12,,,,,,,
0,2,0.7,0.5,3,0.2,1,0.00E+00,0.00E+00,4,1,0,1,4,6,4,6,0,4,,,,,,,
0,2,0.7,0.5,3,0.2,2,1.00E+00,0.00E+00,4,1,0,1,4,6,4,6,0,4,,,,,,,
0,2,0.7,0.5,3,0.2,6,0.00E+00,1.00E+00,4,1,0,1,4,6,4,6,0,4,,,,,,,
0,2,0.7,0.5,3,1,1,0.00E+00,0.00E+00,4,2,0,2,6,8,6,8,0,6,,,,,,,
0,2,0.7,0.5,3,1,2,1.00E+00,0.00E+00,4,2,0,2,6,8,6,8,0,6,,,,,,,
0,2,0.7,0.5,3,1,6,0.00E+00,1.00E+00,4,2,0,2,6,8,6,8,0,6,,,,,,,
0,2,0.7,0.5,3,5,1,0.00E+00,0.00E+00,4,3,0,3,8,10,8,10,0,8,,,,,,,
0,2,0.7,0.5,3,5,2,1.00E+00,0.00E+00,4,3,0,3,8,10,8,10,0,8,,,,,,,
